raw_row_number,date,time,location,lat,lng,district,precinct,type,disposition,arrest_made,citation_issued,warning_issued,outcome
1,2012-11-13,00:02:22,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,vehicular,K - Street Check Completed,FALSE,FALSE,FALSE,NA
16,2012-11-29,00:25:01,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
72,2012-11-23,22:58:10,4830 S HOLLAND WAY,39.630666,-105.102551,4,423,vehicular,K - Street Check Completed,FALSE,FALSE,FALSE,NA
121,2012-11-27,17:48:33,4885 S QUEBEC ST,39.626174,-104.904062,3,324,pedestrian,In Service,FALSE,FALSE,FALSE,NA
138,2012-11-14,23:46:58,W LAYTON AVE / S WADSWORTH BLVD,39.63015,-105.081693,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
166,2012-11-27,00:49:39,4490 S KIPLING ST,39.634297,-105.109902,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
178,2012-11-07,00:45:42,4490 S KIPLING ST,39.634297,-105.109902,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
207,2012-11-08,01:13:30,4490 S KIPLING ST,39.634297,-105.109902,4,423,pedestrian,In Service,FALSE,FALSE,FALSE,NA
287,2012-11-06,22:38:59,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
300,2012-11-13,23:49:22,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
301,2012-11-08,04:41:15,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,vehicular,Party Advised,FALSE,FALSE,FALSE,NA
313,2012-11-28,01:18:14,8500 W CRESTLINE AVE,39.618329,-105.092691,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
331,2012-11-28,23:22:44,4797 S WADSWORTH BLVD,39.631343,-105.081671,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
332,2012-11-21,05:08:55,4797 S WADSWORTH BLVD,39.631343,-105.081671,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
334,2012-11-26,23:33:33,4797 S WADSWORTH BLVD,39.631343,-105.081671,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
348,2012-11-09,05:10:29,4797 S WADSWORTH BLVD,39.631343,-105.081671,4,423,pedestrian,In Service,FALSE,FALSE,FALSE,NA
349,2012-11-13,23:17:18,4797 S WADSWORTH BLVD,39.631343,-105.081671,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
356,2012-11-16,00:00:37,4797 S WADSWORTH BLVD,39.631343,-105.081671,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
357,2012-11-19,23:34:51,4797 S WADSWORTH BLVD,39.631343,-105.081671,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
362,2012-11-07,23:16:39,4797 S WADSWORTH BLVD,39.631343,-105.081671,4,423,pedestrian,Party Advised,FALSE,FALSE,FALSE,NA
